,episode_id,url,show_id,show_name,episode_name,season_n,episode_n,type_ep,airstamp,runtime,average_rating,show_type,show_language,show_genres,show_status,showed_in
73,2760372,https://www.tvmaze.com/episodes/2760372/ww2-spies-ties-1x39-everyone-just-chill,62547,WW2: Spies & Ties,Everyone Just Chill,1,39,regular,2024-01-31T12:00:00+00:00,26.0,,Documentary,English,"['War', 'History']",Ended,YouTube
74,2658547,https://www.tvmaze.com/episodes/2658547/criminal-record-1x05-possession-with-intent,62628,Criminal Record,Possession with Intent,1,5,regular,2024-01-31T12:00:00+00:00,43.0,7.7,Scripted,English,"['Crime', 'Thriller']",Running,Apple TV+
75,2718726,https://www.tvmaze.com/episodes/2718726/talk-ville-4x03-facade,63093,Talk Ville,Façade,4,3,regular,2024-01-31T12:00:00+00:00,54.0,,Talk Show,English,[],Running,YouTube
76,3123819,https://www.tvmaze.com/episodes/3123819/tmz-no-bs-1x15-miley-cyrus,63598,TMZ No BS,Miley Cyrus,1,15,regular,2024-01-31T12:00:00+00:00,,,Documentary,English,[],Running,Tubi
77,2759362,https://www.tvmaze.com/episodes/2759362/love-never-lies-polska-2x01-miekkie-ladowanie-trudna-prawda,66629,Love Never Lies: Polska,"Miękkie lądowanie, trudna prawda",2,1,regular,2024-01-31T12:00:00+00:00,42.0,,Reality,Polish,['Romance'],To Be Determined,Netflix
78,2759364,https://www.tvmaze.com/episodes/2759364/love-never-lies-polska-2x02-demony-przeszlosci-powracaja,66629,Love Never Lies: Polska,Demony przeszłości powracają,2,2,regular,2024-01-31T12:00:00+00:00,50.0,,Reality,Polish,['Romance'],To Be Determined,Netflix
79,2759365,https://www.tvmaze.com/episodes/2759365/love-never-lies-polska-2x03-hokus-pokus-wystarczy-tych-pokus,66629,Love Never Lies: Polska,"Hokus-pokus, wystarczy tych pokus",2,3,regular,2024-01-31T12:00:00+00:00,48.0,,Reality,Polish,['Romance'],To Be Determined,Netflix
80,2759366,https://www.tvmaze.com/episodes/2759366/love-never-lies-polska-2x04-slodka-zemsta,66629,Love Never Lies: Polska,Słodka zemsta,2,4,regular,2024-01-31T12:00:00+00:00,50.0,,Reality,Polish,['Romance'],To Be Determined,Netflix
81,2759368,https://www.tvmaze.com/episodes/2759368/love-never-lies-polska-2x05-czas-postawic-karty-na-siebie,66629,Love Never Lies: Polska,Czas postawić karty na siebie,2,5,regular,2024-01-31T12:00:00+00:00,46.0,,Reality,Polish,['Romance'],To Be Determined,Netflix
82,2759369,https://www.tvmaze.com/episodes/2759369/love-never-lies-polska-2x06-jeden-jeden,66629,Love Never Lies: Polska,Jeden jeden,2,6,regular,2024-01-31T12:00:00+00:00,46.0,,Reality,Polish,['Romance'],To Be Determined,Netflix
